Seven Major Felony Offenses																		
																		
																		
OFFENSE	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
MURDER & NON-NEGL. MANSLAUGHTER	673	649	587	597	570	539	596	496	523	471	536	515	419	335	333	352	335	292
RAPE	2068	1981	2144	2070	1905	1858	1525	1351	1299	1205	1373	1420	1445	1378	1352	1438	1438	1449
ROBBERY	32562	28202	27229	25989	24373	24722	23739	21809	22401	18601	19486	19717	20144	19128	16539	16931	15500	13956
FELONY ASSAULT	25924	23453	21147	19139	18622	17750	17309	17493	16284	16773	16956	18482	19381	20297	20207	20270	20847	20052
BURGLARY	38352	32763	31275	29110	26976	24117	23143	21762	20725	19430	18600	18720	19168	17429	16765	15125	12990	12083
GRAND LARCENY	49631	46329	45771	46751	48763	48243	46625	44924	44242	39580	37835	38501	42497	45368	43862	44005	44279	43150
GRAND LARCENY OF MOTOR VEHICLE	35442	29531	26656	23413	20884	18246	15745	13174	12482	10670	10329	9314	8093	7400	7664	7332	6327	5676
TOTAL SEVEN MAJOR FELONY OFFENSES	184652	162908	154809	147069	142093	135475	128682	121009	117956	106730	105115	106669	111147	111335	106722	105453	101716	96658
																		
																		
STATISTICAL NOTES																		
1. 2000-2005 Data Source-Historical Comfinal data including Complaint Follow-Up data.  Compiled from aggregated monthly tapes 2000 thru 2005.																		
2. 2006-2016 Data Source-CDW Omniform System and S-DD5 System (Complaint Follow Up) data by record create date.  																		
"3. Murder & Non-Negligent Manslaughter data source: 2000-2005 Historical Comfinal Data, 2006-2016 Shooting & Homicide Database."																		
4. 2000-2009 data as of 12/8/2010.  2010 data as of 1/18/2011. 2011 data as of 1/18/2012. 2012 data as of 1/15/2013. 2013 data as of 1/17/2014. 2014 data as of 1/16/2015. 2015 data as fo 1/18/2016. 2016 data as of 1/16/2017. 2017 data as of 1/17/2018.																		
